city_name,city_id,streets_per_node_avg,node_density_km,intersection_density_km,edge_density_km,street_density_km,1way_int_count,2way_int_count,3way_int_count,4way_int_count,5way_int_count,6way_int_count,2way_int_prop,5way_int_prop,6way_int_prop,nodes_per_km_street,organic_prop,meshedness_coefficient,7way_int_count,8way_int_count,7way_int_prop,8way_int_prop,9way_int_count,9way_int_prop
sheffield,1838,2.436765355722492,159.6757475255102,110.92631139410277,32439.864080826548,17286.784591386124,6909,122,14447,1115,32,5.0,0.005391073795846222,0.0014140521431727795,0.0002209456473707468,0.009236868006388847,0.9488181979740536,0.6393548243762636,0.0,0.0,0.0,0.0,0.0,0.0
shiraz,5854,2.4391164060560935,349.9833838943034,238.37786102823216,53528.84021814156,31582.05521767005,12848,41,24316,3033,50,2.0,0.0010176222387689253,0.0012410027302060065,4.9640109208240255e-05,0.011081716547012082,0.9233521329722477,0.5800131688469805,0.0,0.0,0.0,0.0,0.0,0.0
shizuoka,12972,2.9737493018431342,244.33275980736946,213.56940745948555,51758.367205228555,28311.927018625418,3156,26,16268,5553,62,1.0,0.0010372616292986516,0.0024734700390967846,3.989467804994814e-05,0.008630029303432138,0.7757188498402556,0.8927408886669995,0.0,0.0,0.0,0.0,0.0,0.0
singapore,11498,2.8862645486598173,177.82311823980422,153.31066959439616,43982.02623800939,29171.118016370983,7272,377,36310,8691,84,19.0,0.007146377525874815,0.0015922963187625582,0.00036016226257724535,0.006095862288857388,0.8320827844282795,0.6209223954405293,0.0,1.0,0.0,1.8955908556697122e-05,0.0,0.0
stockholm,2973,2.6679382694641927,146.1381262135099,112.75847531100499,39772.1095576571,23145.924580622228,5269,225,14562,2931,71,10.0,0.009753771458297209,0.003077856771284897,0.00043350095370209816,0.006313773541621957,0.8681434137372499,0.6514086819465423,0.0,0.0,0.0,0.0,0.0,0.0
st louis,487,2.9109661619610523,64.90843310416624,55.282292531720834,24334.06975192397,13499.844954963392,6298,165,27283,8484,217,18.0,0.0038853698165634493,0.0051098500011773846,0.0004238585254432854,0.004808087301795405,0.7938395347737696,0.823343065520869,2.0,0.0,4.7095391715920594e-05,0.0,0.0,0.0
surabaya,12610,2.5931053263382537,317.4816159118754,239.6621319298303,60256.813340431996,31989.85632816315,44105,233,120410,15162,12,14.0,0.0012949048550595767,6.669037880135159e-05,7.78054419349102e-05,0.009924446444992994,0.9154827687907269,0.7301788253232462,0.0,0.0,0.0,0.0,0.0,0.0
suzhou,12298,3.0667415169660677,35.09540174023112,30.430462798836874,21296.415218626917,14320.706321670506,4262,203,17025,10300,260,11.0,0.006331087824351297,0.00810878243512974,0.00034306387225548903,0.0024506753334591984,0.6681209001600703,0.6900670150823172,2.0,0.0,6.2375249500998e-05,0.0,1.0,3.1187624750499e-05
sydney,13043,2.707734077840247,84.72736506238343,68.6256608481408,25179.409609759015,14009.619435423543,14839,834,54911,7331,145,22.0,0.01068094207445923,0.0018569983222980675,0.00028175146959005164,0.006047799189187748,0.902924309699802,0.6794870965027542,1.0,0.0,1.2806884981365982e-05,0.0,0.0,0.0
tabriz,5354,2.6048242759518385,192.36277560715808,143.25486885030307,38331.997674156744,23148.058843561295,6276,54,15435,2751,64,4.0,0.0021965506020175723,0.0026033192320208264,0.00016270745200130165,0.008310103966262571,0.8850794944965349,0.6126184894506167,0.0,0.0,0.0,0.0,0.0,0.0
taichung,12693,2.966887417218543,113.10083672350419,93.60571457303999,33618.83104123289,20163.56691963208,3748,24,11455,6267,220,28.0,0.0011037527593818985,0.010117733627667403,0.0012877115526122149,0.005609168118632054,0.6999539594843462,0.8073443075860481,1.0,1.0,4.59896983075791e-05,4.59896983075791e-05,0.0,0.0
takamatsu,12857,2.751501630341514,166.90658992956384,133.31474106395615,36407.17603326861,19308.930037762297,4691,7,15072,3479,59,0.0,0.00030032606830272866,0.0025313197185515704,0.0,0.008644010289702544,0.8481610231320544,0.8203103204068931,0.0,0.0,0.0,0.0,0.0,0.0
takasaki maebashi,12947,3.029948856799037,163.15346944128794,147.35595315377935,44395.301921808525,23105.34500760736,6437,81,45210,14570,170,12.0,0.0012184115523465704,0.0025571600481347776,0.00018050541516245486,0.007061286874858185,0.7778279793370382,0.9686655170076736,0.0,0.0,0.0,0.0,0.0,0.0
tampa,501,2.8858617394074546,66.7689352924588,54.96536167904968,23576.589457676335,13138.503083227364,13873,344,45673,18109,406,68.0,0.004383561643835616,0.005173622172666454,0.0008665179993628544,0.005081928654238864,0.7621302683953872,0.8038103892945596,2.0,0.0,2.548582351067219e-05,0.0,0.0,0.0
tashkent,6008,2.83226197130613,75.36836249834445,62.80696874862038,26501.15427350391,15282.56436666148,3578,26,14361,3437,54,12.0,0.0012111049003167506,0.002515371716042482,0.0005589714924538849,0.004931656801181783,0.8366290457979666,0.7465425966090627,0.0,0.0,0.0,0.0,0.0,0.0
tegal,12253,2.52748046942217,245.5535639211369,176.86583402641273,62864.86449511599,32444.452947007212,8128,5,18451,2430,30,11.0,0.00017207557559280036,0.0010324534535568022,0.0003785662663041608,0.007568429781269825,0.9148767726834641,0.7407184288886212,2.0,0.0,6.883023023712014e-05,0.0,0.0,0.0
tehran,5737,2.5910726158814588,246.62243476562682,180.5906716674331,43340.948134413244,27329.018759836716,45101,425,101601,20944,344,26.0,0.0025230338145896657,0.002042173252279635,0.00015435030395136778,0.009024196475289051,0.8731066580170572,0.5780247053186962,1.0,6.0,5.936550151975684e-06,3.56193009118541e-05,0.0,0.0
tel aviv,4309,2.8519799857040744,156.5783783155047,133.13303257602513,32426.614326379622,22580.751299342483,5237,495,23631,5443,159,9.0,0.014152966404574696,0.004546104360257327,0.0002573266619013581,0.0069341527321132145,0.8372389791183295,0.516641287796389,1.0,0.0,2.8591851322373122e-05,0.0,0.0,0.0
teresina,1343,3.2264533677562124,228.0076466551191,213.6803024851441,57013.80289692953,31885.88521285257,1363,10,12691,7608,17,2.0,0.00046102069982942236,0.000783735189710018,9.220413996588446e-05,0.007150739116479467,0.64821733314884,0.9304149272320502,0.0,0.0,0.0,0.0,0.0,0.0
thiruvananthapuram,8095,2.533050562741475,252.386932331199,185.8454758733094,72605.51301896542,37136.356735688045,6278,12,16104,1391,23,4.0,0.0005039475894506972,0.0009658995464471695,0.00016798252981689904,0.006796222206920345,0.9404201680672268,0.7340056728647967,0.0,0.0,0.0,0.0,0.0,0.0
